Date,Open,High,Low,Close,adj_close,Volume,Nilai,kurs_jual,kurs_beli
2016-05-18,4310.0,4420.0,4270.0,4400.0,3777.933594,41504200.0,1,13386.0,13252.0
2016-05-19,4400.0,4420.0,4290.0,4360.0,3743.588867,33421400.0,1,13534.0,13400.0
2016-05-20,4330.0,4400.0,4310.0,4380.0,3760.761475,19167000.0,1,13641.0,13505.0
2016-05-23,4380.0,4440.0,4360.0,4430.0,3803.692383,22626000.0,1,13675.0,13539.0
2016-05-24,4430.0,4460.0,4410.0,4440.0,3812.278564,30446200.0,1,13674.0,13538.0
2016-05-25,4480.0,4520.0,4470.0,4510.0,3872.381592,26476300.0,1,13739.0,13603.0
2016-05-26,4540.0,4570.0,4480.0,4550.0,3906.726807,29009000.0,1,13683.0,13547.0
2016-05-27,4550.0,4680.0,4530.0,4630.0,3975.41626,36116000.0,1,13643.0,13507.0
2016-05-30,4680.0,4760.0,4650.0,4720.0,4052.692627,35140800.0,1,13709.0,13573.0
2016-05-31,4750.0,4800.0,4670.0,4800.0,4121.382324,53911000.0,1,13683.0,13547.0
2016-06-01,4720.0,4790.0,4720.0,4770.0,4095.623291,19619700.0,1,13739.0,13603.0
2016-06-02,4730.0,4750.0,4650.0,4690.0,4026.933594,22585400.0,1,13763.0,13627.0
2016-06-03,4710.0,4730.0,4670.0,4700.0,4035.52002,15443800.0,1,13680.0,13544.0
2016-06-06,4730.0,4770.0,4720.0,4770.0,4095.623291,20106600.0,1,13545.0,13411.0
2016-06-07,4780.0,4850.0,4770.0,4820.0,4138.554688,38506600.0,1,13442.0,13308.0
2016-06-08,4820.0,4840.0,4790.0,4820.0,4138.554688,22700500.0,1,13307.0,13175.0
2016-06-09,4820.0,4830.0,4770.0,4770.0,4095.623291,17111700.0,1,13297.0,13165.0
2016-06-10,4760.0,4820.0,4750.0,4760.0,4087.037842,10953900.0,1,13376.0,13242.0
2016-06-13,4760.0,4760.0,4670.0,4690.0,4026.933594,11028800.0,1,13408.0,13274.0
2016-06-14,4690.0,4720.0,4650.0,4660.0,4001.175537,16079300.0,1,13339.0,13207.0
2016-06-15,4670.0,4730.0,4660.0,4730.0,4061.278564,15865200.0,1,13465.0,13331.0
2016-06-16,4740.0,4760.0,4650.0,4670.0,4009.761719,12682600.0,1,13394.0,13260.0
2016-06-17,4700.0,4720.0,4600.0,4660.0,4001.175537,16783500.0,1,13425.0,13291.0
2016-06-20,4680.0,4750.0,4660.0,4720.0,4052.692627,13548200.0,1,13326.0,13194.0
2016-06-21,4730.0,4850.0,4730.0,4850.0,4164.313477,30031700.0,1,13352.0,13220.0
2016-06-22,4850.0,4920.0,4830.0,4920.0,4224.41748,27495400.0,1,13364.0,13232.0
2016-06-23,4920.0,4920.0,4860.0,4890.0,4198.657715,13121000.0,1,13331.0,13199.0
2016-06-24,4890.0,4900.0,4690.0,4890.0,4198.657715,21174200.0,1,13362.0,13230.0
2016-06-27,4840.0,4870.0,4790.0,4840.0,4155.727051,17152800.0,1,13562.0,13428.0
2016-06-28,4840.0,4950.0,4840.0,4950.0,4250.175293,44684800.0,1,13322.0,13190.0
2016-06-29,4980.0,5200.0,4980.0,5200.0,4464.830078,96649700.0,1,13232.0,13100.0
2016-06-30,5250.0,5275.0,5125.0,5200.0,4464.830078,44907800.0,1,13246.0,13114.0
2016-07-01,5225.0,5225.0,5100.0,5150.0,4421.899902,9469400.0,1,13238.0,13106.0
2016-07-11,5250.0,5350.0,5250.0,5300.0,4550.693359,41016300.0,1,13178.0,13046.0
2016-07-12,5325.0,5450.0,5300.0,5425.0,4658.020508,44642200.0,1,13217.0,13085.0
